KindOfOperation,KindOfSpace,RoomsAmount,LocationRating,Size,Price,Standard,Floor,City,UserRoomsAmount,UserPrice,UserStandard,UserLocationRating,IsGoodOfert
K,M,5.00,4.00,105.00,218736.00,2.00,10.00,Bydgoszcz,1.00,268128.00,1.00,0.00,1
W,M,4.00,4.00,76.00,4085.76,1.00,1.00,Bydgoszcz,3.00,8171.52,0.00,1.00,1
K,M,5.00,2.00,90.00,195048.00,2.00,2.00,Wroc³aw,4.00,222264.00,1.00,0.00,1
K,M,5.00,5.00,105.00,141120.00,1.00,5.00,Poznañ,2.00,149940.00,0.00,2.00,1
W,M,5.00,3.00,100.00,25200.00,5.00,0.00,Bia³ystok,1.00,37800.00,1.00,1.00,1
K,M,3.00,5.00,54.00,174182.40,4.00,9.00,Bydgoszcz,1.00,239500.80,2.00,0.00,1
K,M,4.00,2.00,72.00,203212.80,5.00,0.00,Poznañ,3.00,222566.40,4.00,1.00,1
W,M,5.00,5.00,90.00,56700.00,5.00,5.00,Poznañ,2.00,75600.00,1.00,0.00,1
W,M,5.00,4.00,100.00,10080.00,1.00,1.00,Gdañsk,2.00,13440.00,0.00,2.00,1
K,M,2.00,4.00,40.00,153216.00,5.00,0.00,Kraków,0.00,157248.00,4.00,1.00,1
K,M,4.00,3.00,76.00,261999.36,3.00,9.00,Gdañsk,2.00,324051.84,1.00,0.00,1
K,M,4.00,4.00,76.00,418790.40,5.00,4.00,£ódŸ,3.00,469862.40,2.00,0.00,1
W,M,4.00,5.00,80.00,16128.00,3.00,3.00,Gdañsk,3.00,32256.00,0.00,3.00,1
K,M,4.00,3.00,88.00,312238.08,4.00,10.00,Bydgoszcz,1.00,319334.40,0.00,0.00,1
K,M,4.00,5.00,84.00,462309.12,3.00,2.00,Bia³ystok,0.00,517345.92,2.00,3.00,1
W,M,5.00,4.00,95.00,28728.00,3.00,5.00,Lublin,0.00,38304.00,2.00,3.00,1
W,M,5.00,4.00,105.00,28224.00,4.00,6.00,Gdañsk,3.00,42336.00,1.00,0.00,1
K,M,4.00,5.00,88.00,378470.40,4.00,5.00,Szczecin,3.00,544051.20,3.00,2.00,1
W,M,3.00,3.00,60.00,3628.80,2.00,10.00,Poznañ,0.00,7257.60,1.00,0.00,1
W,M,5.00,5.00,100.00,16800.00,2.00,3.00,Wroc³aw,4.00,25200.00,0.00,1.00,1
W,M,5.00,3.00,105.00,10584.00,2.00,0.00,Warszawa,4.00,15876.00,0.00,2.00,1
W,M,5.00,5.00,105.00,66150.00,5.00,4.00,Lublin,0.00,88200.00,3.00,0.00,1
K,M,4.00,3.00,84.00,381024.00,5.00,4.00,Wroc³aw,1.00,533433.60,4.00,2.00,1
W,M,2.00,5.00,38.00,1276.80,1.00,1.00,Lublin,1.00,1915.20,0.00,2.00,1
K,M,5.00,4.00,95.00,494760.00,5.00,10.00,Lublin,1.00,654360.00,0.00,1.00,1
W,M,5.00,5.00,95.00,23940.00,3.00,5.00,Lublin,3.00,47880.00,1.00,1.00,1
W,M,5.00,1.00,105.00,5292.00,3.00,10.00,£ódŸ,4.00,7938.00,2.00,0.00,1
K,M,3.00,5.00,66.00,436590.00,5.00,4.00,Wroc³aw,2.00,536382.00,3.00,2.00,1
W,M,2.00,4.00,42.00,5080.32,3.00,4.00,Bydgoszcz,1.00,6773.76,1.00,1.00,1
W,M,5.00,5.00,105.00,44100.00,5.00,10.00,Kraków,2.00,88200.00,4.00,0.00,1
W,M,4.00,3.00,72.00,21772.80,5.00,6.00,£ódŸ,1.00,29030.40,3.00,2.00,1
K,M,5.00,3.00,95.00,205405.20,2.00,2.00,Bia³ystok,2.00,267649.20,1.00,0.00,1
K,M,2.00,5.00,44.00,166320.00,5.00,1.00,Lublin,0.00,177408.00,3.00,1.00,1
W,M,5.00,3.00,90.00,18144.00,4.00,3.00,Bia³ystok,1.00,36288.00,3.00,2.00,1
K,M,3.00,5.00,57.00,198223.20,3.00,3.00,Szczecin,2.00,202532.40,1.00,4.00,1
K,M,3.00,4.00,60.00,217728.00,3.00,10.00,Warszawa,2.00,341107.20,0.00,0.00,1
W,M,5.00,5.00,105.00,26460.00,3.00,1.00,Lublin,3.00,39690.00,0.00,0.00,1
K,M,5.00,2.00,95.00,242592.00,4.00,6.00,Bydgoszcz,4.00,280896.00,3.00,0.00,1
W,M,4.00,5.00,72.00,19353.60,4.00,6.00,Kraków,3.00,38707.20,0.00,2.00,1
K,M,5.00,5.00,90.00,839160.00,4.00,4.00,Wroc³aw,1.00,1020600.00,1.00,4.00,1
W,M,4.00,4.00,76.00,18385.92,3.00,0.00,Szczecin,1.00,24514.56,0.00,1.00,1
K,M,5.00,4.00,100.00,1008000.00,5.00,8.00,Gdañsk,3.00,1058400.00,2.00,3.00,1
W,M,4.00,5.00,72.00,24192.00,5.00,1.00,Poznañ,1.00,36288.00,0.00,0.00,1
W,M,5.00,5.00,105.00,44100.00,5.00,3.00,Bia³ystok,0.00,88200.00,4.00,1.00,1
K,M,3.00,5.00,60.00,176904.00,3.00,3.00,£ódŸ,2.00,217728.00,1.00,4.00,1
W,M,4.00,3.00,80.00,9676.80,3.00,1.00,Lublin,0.00,14515.20,0.00,1.00,1
W,M,4.00,3.00,84.00,16934.40,5.00,10.00,Kraków,0.00,33868.80,0.00,0.00,1
W,M,5.00,1.00,95.00,4788.00,2.00,6.00,£ódŸ,1.00,6384.00,0.00,0.00,1
W,M,2.00,5.00,38.00,5745.60,3.00,10.00,Gdañsk,0.00,7660.80,0.00,3.00,1
W,M,3.00,1.00,60.00,3024.00,5.00,5.00,£ódŸ,1.00,6048.00,2.00,0.00,1
K,M,2.00,5.00,40.00,117600.00,5.00,6.00,Szczecin,1.00,134400.00,3.00,1.00,1
W,M,2.00,5.00,40.00,10080.00,5.00,6.00,Warszawa,1.00,13440.00,3.00,4.00,1
W,M,5.00,2.00,100.00,20160.00,4.00,7.00,Warszawa,2.00,26880.00,2.00,0.00,1
W,M,3.00,4.00,60.00,12096.00,5.00,2.00,Warszawa,2.00,18144.00,3.00,0.00,1
K,M,2.00,3.00,36.00,84913.92,4.00,1.00,Kraków,1.00,87091.20,1.00,2.00,1
W,M,3.00,4.00,60.00,7257.60,3.00,5.00,£ódŸ,1.00,14515.20,2.00,2.00,1
W,M,5.00,2.00,95.00,4788.00,1.00,8.00,Bydgoszcz,1.00,6384.00,0.00,0.00,1
W,M,2.00,4.00,42.00,4515.84,4.00,9.00,Warszawa,0.00,9031.68,1.00,1.00,1
W,M,5.00,4.00,100.00,50400.00,5.00,0.00,£ódŸ,1.00,67200.00,1.00,0.00,1
W,M,2.00,3.00,36.00,3265.92,3.00,0.00,Bia³ystok,1.00,4354.56,0.00,0.00,1
K,M,3.00,5.00,63.00,209563.20,4.00,6.00,Szczecin,1.00,234964.80,2.00,0.00,1
W,M,4.00,1.00,76.00,6128.64,4.00,6.00,Wroc³aw,3.00,8171.52,0.00,0.00,1
K,M,5.00,3.00,100.00,623700.00,5.00,0.00,Wroc³aw,4.00,907200.00,0.00,2.00,1
K,M,2.00,5.00,44.00,77616.00,3.00,6.00,Lublin,1.00,108662.40,2.00,2.00,1
K,M,2.00,4.00,38.00,76608.00,5.00,9.00,£ódŸ,1.00,114912.00,4.00,0.00,1
W,M,3.00,2.00,66.00,1330.56,1.00,1.00,£ódŸ,2.00,2661.12,0.00,0.00,1
W,M,3.00,5.00,63.00,23814.00,5.00,3.00,Kraków,2.00,31752.00,0.00,4.00,1
K,M,2.00,4.00,36.00,112492.80,5.00,1.00,Wroc³aw,0.00,174182.40,1.00,1.00,1
K,M,4.00,5.00,84.00,508032.00,5.00,5.00,£ódŸ,0.00,522144.00,4.00,1.00,1
W,M,4.00,5.00,76.00,20428.80,4.00,10.00,Lublin,2.00,30643.20,2.00,1.00,1
K,M,2.00,4.00,40.00,150528.00,4.00,4.00,Warszawa,1.00,210739.20,1.00,0.00,1
K,M,3.00,5.00,66.00,232016.40,3.00,8.00,Wroc³aw,0.00,254469.60,2.00,0.00,1
K,M,5.00,2.00,110.00,314160.00,5.00,5.00,Poznañ,1.00,462000.00,1.00,0.00,1
W,M,5.00,1.00,90.00,3024.00,2.00,6.00,Bydgoszcz,4.00,4536.00,1.00,0.00,1
W,M,2.00,1.00,40.00,537.60,2.00,0.00,Warszawa,0.00,1075.20,0.00,0.00,1
W,M,5.00,4.00,110.00,29568.00,4.00,4.00,Bydgoszcz,1.00,59136.00,3.00,1.00,1
W,M,2.00,5.00,38.00,5107.20,4.00,1.00,Lublin,1.00,10214.40,1.00,1.00,1
W,M,4.00,1.00,84.00,3386.88,2.00,5.00,Wroc³aw,0.00,4515.84,0.00,0.00,1
K,M,4.00,2.00,88.00,177408.00,5.00,9.00,Lublin,1.00,266112.00,4.00,0.00,1
W,M,4.00,4.00,84.00,9031.68,2.00,8.00,Warszawa,0.00,13547.52,0.00,0.00,1
W,M,2.00,2.00,42.00,2822.40,5.00,8.00,Poznañ,0.00,4233.60,2.00,1.00,1
W,M,2.00,5.00,38.00,1276.80,1.00,0.00,Warszawa,1.00,2553.60,0.00,3.00,1
K,M,5.00,2.00,110.00,623700.00,5.00,3.00,Gdañsk,1.00,679140.00,1.00,0.00,1
W,M,4.00,3.00,88.00,17740.80,5.00,0.00,Kraków,2.00,35481.60,1.00,2.00,1
W,M,5.00,5.00,95.00,31920.00,4.00,2.00,Gdañsk,2.00,47880.00,3.00,4.00,1
K,M,5.00,3.00,95.00,550620.00,5.00,6.00,Bydgoszcz,2.00,598500.00,3.00,1.00,1
K,M,5.00,5.00,100.00,856800.00,4.00,2.00,Gdañsk,4.00,1083600.00,2.00,4.00,1
W,M,4.00,4.00,84.00,18063.36,4.00,7.00,Szczecin,1.00,27095.04,0.00,3.00,1
K,M,2.00,4.00,42.00,225792.00,5.00,9.00,Warszawa,0.00,265305.60,3.00,2.00,1
K,M,4.00,2.00,88.00,425779.20,5.00,7.00,Warszawa,3.00,496742.40,3.00,0.00,1
K,M,5.00,5.00,95.00,937650.00,5.00,4.00,Lublin,0.00,977550.00,2.00,0.00,1
K,M,5.00,4.00,110.00,572880.00,5.00,2.00,Lublin,1.00,720720.00,3.00,2.00,1
K,M,5.00,3.00,90.00,453600.00,5.00,7.00,Lublin,1.00,567000.00,2.00,0.00,1
W,M,5.00,4.00,100.00,20160.00,3.00,8.00,Poznañ,1.00,30240.00,2.00,0.00,1
K,M,5.00,3.00,110.00,548856.00,4.00,5.00,Wroc³aw,4.00,582120.00,0.00,2.00,1
W,M,3.00,4.00,63.00,12700.80,5.00,5.00,£ódŸ,1.00,19051.20,3.00,1.00,1
W,M,2.00,4.00,42.00,1128.96,1.00,4.00,Warszawa,1.00,1693.44,0.00,2.00,1
W,M,5.00,5.00,100.00,25200.00,3.00,9.00,Gdañsk,3.00,37800.00,0.00,0.00,1
K,M,4.00,3.00,88.00,70963.20,1.00,7.00,£ódŸ,3.00,86929.92,0.00,1.00,1
K,M,4.00,4.00,80.00,344064.00,5.00,5.00,Bydgoszcz,0.00,526848.00,0.00,2.00,1
K,M,4.00,4.00,84.00,88058.88,1.00,7.00,Poznañ,3.00,97090.56,0.00,2.00,1
K,M,3.00,3.00,60.00,158760.00,5.00,9.00,Bydgoszcz,1.00,195048.00,1.00,1.00,1
K,M,5.00,4.00,105.00,119952.00,1.00,4.00,Bydgoszcz,3.00,134064.00,0.00,3.00,1
W,M,4.00,3.00,76.00,12257.28,4.00,3.00,Szczecin,3.00,18385.92,3.00,2.00,1
K,M,2.00,4.00,42.00,77898.24,3.00,8.00,Bydgoszcz,1.00,79591.68,0.00,3.00,1
W,M,2.00,5.00,36.00,9072.00,5.00,8.00,Lublin,0.00,12096.00,4.00,3.00,1
W,M,4.00,5.00,88.00,23654.40,4.00,8.00,Poznañ,0.00,35481.60,3.00,2.00,1
K,M,4.00,2.00,88.00,255467.52,3.00,9.00,Warszawa,1.00,326430.72,1.00,0.00,1
W,M,5.00,5.00,105.00,26460.00,3.00,10.00,Kraków,4.00,39690.00,1.00,1.00,1
W,M,5.00,5.00,100.00,25200.00,3.00,1.00,£ódŸ,3.00,37800.00,0.00,0.00,1
W,M,3.00,5.00,57.00,17236.80,4.00,2.00,Kraków,2.00,22982.40,3.00,2.00,1
K,M,3.00,1.00,63.00,60963.84,4.00,9.00,Gdañsk,2.00,68584.32,0.00,0.00,1
K,M,3.00,3.00,57.00,252088.20,5.00,2.00,Kraków,1.00,316726.20,4.00,2.00,1
W,M,1.00,3.00,23.00,463.68,2.00,5.00,£ódŸ,0.00,695.52,1.00,2.00,1
K,M,3.00,3.00,63.00,166698.00,5.00,6.00,Lublin,1.00,195274.80,0.00,1.00,1
K,M,5.00,3.00,95.00,215460.00,3.00,5.00,Lublin,0.00,229824.00,1.00,2.00,1
K,M,3.00,2.00,57.00,49412.16,2.00,7.00,Lublin,2.00,52859.52,1.00,0.00,1
W,M,5.00,2.00,95.00,23940.00,5.00,5.00,£ódŸ,1.00,31920.00,0.00,0.00,1
K,M,5.00,4.00,95.00,893760.00,4.00,9.00,Warszawa,1.00,1072512.00,1.00,1.00,1
K,M,5.00,5.00,105.00,1256850.00,5.00,1.00,Gdañsk,2.00,1620675.00,4.00,4.00,1
K,M,5.00,1.00,90.00,113400.00,5.00,6.00,Lublin,2.00,154980.00,3.00,0.00,1
W,M,5.00,3.00,105.00,26460.00,5.00,10.00,Gdañsk,4.00,52920.00,0.00,1.00,1
K,M,3.00,3.00,57.00,53434.08,2.00,3.00,Bydgoszcz,2.00,74118.24,0.00,0.00,1
W,M,5.00,4.00,100.00,26880.00,4.00,7.00,Bydgoszcz,4.00,53760.00,0.00,0.00,1
K,M,4.00,2.00,72.00,290304.00,5.00,5.00,Kraków,0.00,304819.20,2.00,1.00,1
W,M,2.00,5.00,38.00,5745.60,3.00,5.00,Lublin,1.00,7660.80,1.00,1.00,1
W,M,2.00,5.00,42.00,5644.80,4.00,9.00,Kraków,1.00,11289.60,0.00,2.00,1
W,M,5.00,4.00,95.00,31920.00,5.00,10.00,Gdañsk,4.00,63840.00,3.00,1.00,1
W,M,5.00,1.00,110.00,3696.00,2.00,0.00,Warszawa,2.00,7392.00,0.00,0.00,1
W,M,5.00,4.00,110.00,29568.00,4.00,2.00,Kraków,0.00,59136.00,0.00,2.00,1
K,M,5.00,5.00,105.00,463050.00,3.00,8.00,Lublin,1.00,635040.00,0.00,3.00,1
W,M,4.00,5.00,88.00,29568.00,5.00,8.00,Bydgoszcz,0.00,59136.00,2.00,3.00,1
W,M,3.00,3.00,63.00,9525.60,5.00,2.00,Bia³ystok,0.00,14288.40,1.00,1.00,1
K,M,2.00,5.00,42.00,152409.60,4.00,9.00,Kraków,0.00,173577.60,0.00,0.00,1
W,M,2.00,3.00,44.00,6652.80,5.00,6.00,Lublin,0.00,8870.40,3.00,0.00,1
K,M,5.00,2.00,105.00,268128.00,4.00,1.00,Lublin,4.00,282240.00,0.00,0.00,1
W,M,4.00,3.00,72.00,8709.12,3.00,6.00,Szczecin,3.00,13063.68,2.00,1.00,1
K,M,4.00,3.00,88.00,212889.60,4.00,4.00,Szczecin,1.00,326430.72,2.00,0.00,1
W,M,3.00,5.00,66.00,9979.20,3.00,4.00,Poznañ,2.00,14968.80,1.00,1.00,1
